neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
0,tsne,-19.910633087158203,-11.81588077545166,,0.0,0.0,0.0,0.0,0.0,-65.0,-13.0,1.0,0,input
131585,tsne,-20.40912628173828,-10.842391967773438,,1.0,2.0,2.0,0.0,0.0,-65.0,-13.0,1.0,0,internal
263936,tsne,2.3833141326904297,21.716012954711914,,0.0,7.0,4.0,0.0,0.0,-65.0,-13.0,1.0,0,input
458760,tsne,-28.014501571655273,1.7911591529846191,,8.0,0.0,7.0,0.0,0.0,-65.0,-13.0,1.0,0,internal
590340,tsne,-26.369508743286133,4.882511615753174,,4.0,2.0,9.0,0.0,0.0,-65.0,-13.0,1.0,0,internal
16779013,tsne,7.022241592407227,-2.391065835952759,,5.0,7.0,0.0,1.0,0.0,-65.0,-13.0,1.0,0,internal
16908801,tsne,-19.960817337036133,-10.719218254089355,,1.0,2.0,2.0,1.0,0.0,-65.0,-13.0,1.0,0,internal
17040131,tsne,-20.783878326416016,-9.76447868347168,,3.0,3.0,4.0,1.0,0.0,-65.0,-13.0,1.0,0,internal
17171207,tsne,-28.14625358581543,2.9634850025177,,7.0,3.0,6.0,1.0,0.0,-65.0,-13.0,1.0,0,internal
17367814,tsne,-27.508304595947266,4.264459133148193,,6.0,3.0,9.0,1.0,0.0,-65.0,-13.0,1.0,0,internal
33620231,tsne,-12.380253791809082,-12.410301208496094,,7.0,1.0,1.0,2.0,0.0,-65.0,-13.0,1.0,0,internal
33752073,tsne,-8.78001594543457,-12.00744915008545,,9.0,4.0,3.0,2.0,0.0,-65.0,-13.0,1.0,0,output
33882115,tsne,-23.997461318969727,1.7589669227600098,,3.0,0.0,5.0,2.0,0.0,-65.0,-13.0,1.0,0,internal
33949705,tsne,6.261557579040527,2.777904510498047,,9.0,8.0,6.0,2.0,0.0,-65.0,-13.0,1.0,0,output
34080003,tsne,2.9955153465270996,17.535173416137695,,3.0,5.0,8.0,2.0,0.0,-65.0,-13.0,1.0,0,internal
50331650,tsne,-18.46303939819336,-12.173086166381836,,2.0,0.0,0.0,3.0,0.0,-65.0,-13.0,1.0,0,internal
50398983,tsne,6.80930757522583,-3.934948205947876,,7.0,7.0,1.0,3.0,0.0,-65.0,-13.0,1.0,0,internal
50530048,tsne,8.153775215148926,-9.93137264251709,,0.0,7.0,3.0,3.0,0.0,-65.0,-13.0,1.0,0,input
50725888,tsne,-13.129717826843262,-3.0876917839050293,,0.0,4.0,6.0,3.0,0.0,-65.0,-13.0,1.0,0,input
50858240,tsne,5.638010025024414,22.108781814575195,,0.0,9.0,8.0,3.0,0.0,-65.0,-13.0,1.0,0,input
67110657,tsne,9.073701858520508,-9.377005577087402,,1.0,7.0,0.0,4.0,0.0,-65.0,-13.0,1.0,0,internal
67240712,tsne,-9.591944694519043,-11.981880187988281,,8.0,3.0,2.0,4.0,0.0,-65.0,-13.0,1.0,0,internal
67436548,tsne,-23.671157836914062,1.443421721458435,,4.0,0.0,5.0,4.0,0.0,-65.0,-13.0,1.0,0,internal
67504388,tsne,5.740635871887207,17.78559112548828,,4.0,9.0,6.0,4.0,0.0,-65.0,-13.0,1.0,0,internal
67635456,tsne,6.374899387359619,22.29316520690918,,0.0,9.0,8.0,4.0,0.0,-65.0,-13.0,1.0,0,input
83886087,tsne,-10.631022453308105,-13.631300926208496,,7.0,0.0,0.0,5.0,0.0,-65.0,-13.0,1.0,0,internal
84018182,tsne,2.6086037158966064,-5.24155855178833,,6.0,4.0,2.0,5.0,0.0,-65.0,-13.0,1.0,0,internal
84149769,tsne,1.347426414489746,-1.6191442012786865,,9.0,6.0,4.0,5.0,0.0,-65.0,-13.0,1.0,0,output
